Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Audi Q5 2.0 45 Tfsi Offroad 252cv,Capital Federal,Audi,Q5,2020,2.0 45 Tfsi Offroad 252cv,Gris,Nafta,5,Automática,2.0,SUV,74000,,Sí,Eléctrica,4x4,5,75 L,252,4629,1653,1830,2728 mm,55900
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline C34,Bs.As. G.B.A. Oeste,Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x4 Highline C34,,Diésel,4,Manual,2.0,Pick-Up,150000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,19000
Toyota Etios 1.5 Sedan Xls At,Bs.As. Costa Atlántica,Toyota,Etios,2019,1.5 Sedan Xls At,Negro,Nafta,4,Automática,1.5,Sedán,99700,No,Sí,electronic,Delantera,5,45 L,103,4265,1510,1695,2460 mm,18500000
Peugeot 2008 1.6 Feline,Capital Federal,Peugeot,2008,2018,1.6 Feline,Blanco,Nafta,5,Manual,1.6,SUV,79500,No,Sí,,Delantera,5,55 L,115,4159,1583,1739,2542 mm,17200000
Peugeot 207 1.4 Active 75cv,Córdoba,Peugeot,207,2013,1.4 Active 75cv,Negro,Nafta,3,Manual,1.4,Hatchback,140200,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1441,1669,2443 mm,8990000
RAM 1500 5.7 Laramie Atx V8,Bs.As. G.B.A. Norte,RAM,1500,2023,5.7 Laramie Atx V8,Plateado,Nafta,4,Automática,5.7,Pick-Up,42000,Sí,Sí,Hidráulica,4x4,5,98 L,395,5817,1983,2017,3797 mm,72000000
Ford Ranger 2.2 Cd Xl Tdci 125cv 4x4,Córdoba,Ford,Ranger,2019,2.2 Cd Xl Tdci 125cv 4x4,Gris,Diésel,4,Manual,4,Pick-Up,135000,No,Sí,hydraulic,4x2,3,80 L,125,5359,1800,1860,3220 mm,30000000
Honda Civic 1.7 Ex At,Córdoba,Honda,Civic,2007,1.7 Ex At,Azul,Nafta,5,Automática,1.7,Sedán,187000,Sí,Sí,Hidráulica,Delantera,5,50 L,127,4435,1455,1778,2651 mm,9500000
Volkswagen Taos Highline hero,Capital Federal,Volkswagen,Taos,2022,Highline hero,,Nafta,5,Automática,1.4,SUV,22700,Sí,Sí,Eléctrica,4x2,5,50 L,150,4468,1624,1841,2651 mm,34000
Chevrolet Tracker 1.8 Ltz+,Bs.As. G.B.A. Oeste,Chevrolet,Tracker,2018,,Rojo,Nafta,5,Automática,1.8,SUV,62000,,Sí,,4x4,5,53 L,141,4248,1674,1657,2465 mm,17900
Nissan Sentra 2.0 Advance,Bs.As. G.B.A. Oeste,Nissan,Sentra,2022,2.0 Advance,Plateado,Nafta,4,Manual,2.0,Sedán,89300,Sí,Sí,Eléctrica,Delantera,5,47 L,147,4640,1455,1815,2710 mm,25500000
Volkswagen Vento 2.0 Luxury I 140cv Dsg,Bs.As. G.B.A. Oeste,Volkswagen,Vento,2011,2.0 Luxury I 140cv Dsg,Negro,Diésel,4,Automática,2.0,Sedán,172000,Sí,Sí,Eléctrica,Delantera,5,55 L,140,4618,1453,1778,2651 mm,12500
Chevrolet Cruze II 1.4 Ltz 153cv,Capital Federal,Chevrolet,Cruze II,2018,1.4 Ltz 153cv,Gris,Nafta,5,Manual,1.4,Hatchback,110000,Sí,Sí,Asistida,Delantera,5,60 L,153,4510,1477,1677,2467 mm,16000
Peugeot 308 1.6 Feline Hdi 115cv,Bs.As. G.B.A. Oeste,Peugeot,308,2013,1.6 Feline Hdi 115cv,,Diésel,5,Manual,1.6,Hatchback,160000,,,Hidráulica,Delantera,5,60 L,115,4276,1519,1815,2608 mm,9800
Chevrolet Cruze 1.4 Midnight At Sedan,Buenos Aires Interior,Chevrolet,Cruze,2022,1.4 Midnight At Sedan,Negro,Nafta,4,Automática,1.4,Sedán,37277,Sí,,Eléctrica,Delantera,5,52 L,153,4665,1484,2042,2700 mm,26980000
Volkswagen Amarok 2.0L TDI HIGHLINE 180 CV 4X4,Bs.As. Costa Atlántica,Volkswagen,Amarok,2013,2.0L TDI HIGHLINE 180 CV 4X4,,Diésel,4,Manual,2.0,Pick-Up,160000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,18000
Volkswagen Virtus 1.6 Msi Trendline At,Bs.As. G.B.A. Oeste,Volkswagen,Virtus,2019,1.6 Msi Trendline At,Negro,Nafta,4,Automática,1.6,Sedán,138000,,,Hidráulica,Delantera,5,50 L,110,4480,1468,1751,2650 mm,13500
Fiat Cronos 1.3 Drive Mt,Bs.As. G.B.A. Sur,Fiat,Cronos,2024,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,500,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,3500
Fiat Toro 2.0 350 Multijet Ultra 4x4 At,Capital Federal,Fiat,Toro,2024,2.0 350 Multijet Ultra 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,1000,,,,4x4,5,60 L,170,4945,1735,2033,2990 mm,13000
Fiat Cronos Like 1.3 GSE,Capital Federal,Fiat,Cronos,2024,Like 1.3 GSE,Blanco,Nafta,4,Manual,1.3,Sedán,1000,No,Sí,,4x2,5,48 L,99,4364,1515,1962,2521 mm,20400000
Citroën Berlingo Furgon 1.6 Hdi 92cv Am53,Capital Federal,,Berlingo Furgon,2013,1.6 Hdi 92cv Am53,Blanco,Diésel,5,Manual,1.6,Furgón,115000,,Sí,Hidráulica,Delantera,2,60 L,92,4137,1858,1608,2443 mm,7999
Chevrolet Classic 1.4 Ls Pack,Capital Federal,Chevrolet,Classic,2012,1.4 Ls Pack,Plateado,Nafta,4,Manual,1.4,Sedán,400000,,Sí,Hidráulica,Delantera,5,54 L,94,4056,1445,1944,3095 mm,3500000
Jeep Compass 1.3 T270 Sport,San Juan,Jeep,Compass,2022,1.3 T270 Sport,,Nafta,5,Automática,1.3,SUV,25500,Sí,Sí,Eléctrica,4x2,5,52 L,175,4404,1632,1819,2636 mm,25000
Chevrolet Agile 1.4 Ls Spirit,Capital Federal,Chevrolet,Agile,2012,1.4 Ls Spirit,Negro,Nafta,5,Manual,1.4,Hatchback,138000,Sí,Sí,Hidráulica,Delantera,5,54 L,92,3996,1474,1760,3085 mm,7500
Volkswagen The Beetle 2.0 Sport Dsg,Bs.As. G.B.A. Oeste,Volkswagen,The Beetle,2019,2.0 Sport Dsg,Blanco,Nafta,3,Automática,2.0,Hatchback,82000,,,Hidráulica,Delantera,4,55 L,211,4278,1486,1808,2537 mm,29000
Ford Focus II 2.0 Exe Sedan Ghia,Capital Federal,Ford,Focus II,2013,2.0 Exe Sedan Ghia,,Nafta,4,Manual,2.0,Sedán,78000,Sí,,Asistida,Delantera,5,55 L,145,4481,1497,1822,2673 mm,10250
Toyota Hilux 2.8 S/cab 4x4 D Sr5,Río Negro,Toyota,Hilux,1998,,Verde,Diésel,2,Manual,2.8,Pick-Up,375000,,,Hidráulica,4x4,5,65 L,177,4850,1805,1630,2860 mm,13000
Ford Mondeo 2.0 Ghia Duratec M5,Buenos Aires Interior,Ford,Mondeo,2009,2.0 Ghia Duratec M5,Negro,Nafta,4,Manual,2.0,Sedán,250000,Sí,,Hidráulica,Delantera,5,70 L,145,4844,1500,1746,2589 mm,9900000
Citroën C3 1.6 Vti 115 Live,Chaco,,C3,2018,1.6 Vti 115 Live,,Nafta,5,Manual,1.6,Hatchback,78500,,Sí,Eléctrica,Delantera,5,55 L,115,3944,1521,1728,2460 mm,13000000
Mercedes-Benz Clase A 1.6 A 200 Style B.efficiency 156cv,Bs.As. G.B.A. Norte,,Clase A,2013,1.6 A 200 Style B.efficiency 156cv,,Nafta,5,Manual,1.6,Hatchback,120000,Sí,Sí,Asistida,Delantera,5,58 L,136,4270,1605,1720,2425 mm,17000
Ford Ranger Raptor Bi Turbo 2.0,Buenos Aires Interior,Ford,Ranger Raptor,2019,Bi turbo 2.0,,Diésel,4,,,,23000,,,,,,,,,,,,50000
Ford Ka 1.5 S MT,Bs.As. G.B.A. Norte,Ford,Ka,2016,1.5 S MT,Plateado,Nafta,4,Manual,1,Hatchback,40818,No,No,Asistida,4x2,5,51 L,120,3969,1464,1777,2686 mm,12800000
Renault Sandero 1.6 Privilege Nav 105cv,Bs.As. Costa Atlántica,Renault,Sandero,2015,1.6 Privilege Nav 105cv,,Nafta,5,Manual,1.6,Hatchback,50000,,,Hidráulica,Delantera,5,50 L,105,4023,1528,1733,2590 mm,14900000
Mercedes-Benz Sprinter 311 Cdi Street Furgón 3250 Tn V2,Bs.As. G.B.A. Oeste,,Sprinter,2023,311 Cdi Street Furgón 3250 Tn V2,Blanco,Diésel,2,Manual,2.1,Furgón,1111,,Sí,Hidráulica,Delantera,20,75 L,150,6995,2860,1994,4025 mm,37800
Volkswagen Suran 1.6 Track,Capital Federal,Volkswagen,Suran,2017,1.6 Track,Plateado,Nafta/GNC,5,Manual,1.6,Monovolumen,89000,Sí,Sí,Hidráulica,Delantera,5,50 L,101,4204,1585,1660,2467 mm,15949900
Volkswagen Suran 1.6 Comfortline 101cv,Capital Federal,Volkswagen,Suran,2014,1.6 Comfortline 101cv,,Nafta,5,Manual,1.6,Monovolumen,110000,,,Hidráulica,Delantera,5,50 L,101,4178,1547,1660,2467 mm,10500
Renault Koleos 2.5 Expression 4x2 Mt,Bs.As. G.B.A. Norte,Renault,Koleos,2013,2.5 Expression 4x2 Mt,Negro,Nafta,5,Manual,2.5,SUV,210000,Sí,Sí,Eléctrica,4x2,5,65 L,170,4520,1695,1855,2690 mm,8000
Ford F-100 3.9 Cab. Simple Xl Plus Mp3+4x2,Bs.As. G.B.A. Norte,Ford,F-100,2009,,Blanco,Diésel,2,Manual,3.9,Pick-Up,72000,,Sí,Hidráulica,4x2,3,110 L,203,5345,1935,1815,2710 mm,24900
Citroën C3 1.4 I Sx Am74,Buenos Aires Interior,,C3,2011,1.4 I Sx Am74,Gris,Nafta,5,Manual,1.4,Hatchback,113200,,Sí,Eléctrica,Delantera,5,47 L,75,3850,1533,1645,2443 mm,8000000
Volkswagen Gol Trend 1.6 Trendline 101cv,Bs.As. G.B.A. Oeste,Volkswagen,Gol Trend,2018,1.6 Trendline 101cv,Negro,Nafta,5,Manual,1.6,Hatchback,109000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,10500
Renault Kangoo 1.5 Dci Stepway,Bs.As. G.B.A. Sur,Renault,Kangoo,2018,1.5 Dci Stepway,Plateado,Diésel,4,Manual,1.5,Monovolumen,180000,,,Hidráulica,Delantera,5,50 L,89,4397,1847,1760,2808 mm,18000000
Chery Tiggo 2.0 Confort 4x2 127cv,Bs.As. G.B.A. Oeste,Chery,Tiggo,2012,2.0 Confort 4x2 127cv,Violeta,Nafta,5,Manual,2.0,SUV,260000,Sí,Sí,Eléctrica,Delantera,5,57 L,127,4285,1705,1850,3220 mm,7500
Fiat Cronos 1.8 16v Precision Pack Premium - Anticipo --,Bs.As. G.B.A. Oeste,Fiat,Cronos,2019,1.8 16v Precision Pack Premium - Anticipo --,Plateado,Nafta,4,Manual,,Sedán,94000,Sí,Sí,Eléctrica,Delantera,5,48 L,130,4364,1516,1724,2521 mm,6990000
Jeep Renegade 1.8 Sport At Plus,Buenos Aires Interior,Jeep,Renegade,2018,1.8 Sport At Plus,Verde,Nafta,5,Automática,1.8,SUV,74025,Sí,,Hidráulica,4x4,5,60 L,217,4624,1670,1798,2570 mm,25000000
Ford Fiesta 1.6 Max Ambiente Plus,Bs.As. G.B.A. Sur,Ford,Fiesta,2008,1.6 Max Ambiente Plus,Gris,Nafta,4,Manual,1.6,Sedán,25000,No,Sí,Hidráulica,Delantera,5,45 L,98,4205,1495,1765,2488 mm,8400
Volkswagen Amarok 2.0 Cd Tdi 4x4 Highline Pack At C34,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2014,2.0 Cd Tdi 4x4 Highline Pack At C34,Blanco,Diésel,4,Automática,2.0,Pick-Up,156000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,22500
Renault Kwid 1.0 Sce 66cv Life,Bs.As. Costa Atlántica,Renault,Kwid,2018,1.0 Sce 66cv Life,,Nafta,5,Manual,1.0,Hatchback,61000,,,,Delantera,5,50 L,66,3680,1474,1752,2423 mm,9800
Toyota Corolla 1.8 Xli Mt 136cv,Bs.As. G.B.A. Norte,Toyota,Corolla,2013,1.8 Xli Mt 136cv,Plateado,Nafta,4,Manual,1.8,Sedán,138541,,,Eléctrica,Delantera,5,57 L,136,4540,1465,1760,2600 mm,8600
Honda Civic 1.8 Lxs Mt,Capital Federal,Honda,Civic,2011,1.8 Lxs Mt,Gris,Nafta,4,Manual,1.8,Sedán,204000,,Sí,Hidráulica,Delantera,5,50 L,140,4489,1453,1781,2578 mm,10800000
BMW Serie 3 2.0 320i Sedan Executive,Bs.As. G.B.A. Oeste,BMW,Serie 3,2010,2.0 320i Sedan Executive,,Nafta,4,Manual,2.0,Sedán,150000,No,Sí,Asistida,Trasera,5,63 L,156,4531,1421,1665,2718 mm,15000
Honda HR-V 1.8 Lx 2wd Cvt,Bs.As. G.B.A. Norte,Honda,HR-V,2020,1.8 Lx 2wd Cvt,Rojo,Nafta,5,Automática,1.8,SUV,41500,Sí,Sí,Eléctrica,4x2,5,50 L,140,4294,1586,1770,2640 mm,23500
Renault Sandero Stepway 1.6 Dynamique 105cv,Bs.As. G.B.A. Norte,Renault,Sandero Stepway,2015,1.6 Dynamique 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,72900,Sí,,Hidráulica,Delantera,5,50 L,105,4066,1559,1761,2590 mm,12500000
Chevrolet Celta 1.4 Lt Ab+abs,Bs.As. G.B.A. Norte,Chevrolet,Celta,2013,,,Nafta,5,Manual,1.4,Hatchback,115000,,Sí,Hidráulica,Delantera,5,54 L,92,3799,1408,1944,3095 mm,6500
Renault Duster 1.6 Ph2 4x2 Dynamique 110cv,Bs.As. G.B.A. Oeste,Renault,Duster,2015,1.6 Ph2 4x2 Dynamique 110cv,Gris,Nafta,5,Manual,1.6,SUV,156000,,,Asistida,4x2,5,50 L,110,4329,1683,1822,2673 mm,10200
Fiat Mobi 1.0 Easy Pack Top,Mendoza,Fiat,Mobi,2018,1.0 Easy Pack Top,Rojo,Nafta,5,Manual,1.0,Hatchback,68000,,,,Delantera,5,47 L,70,3566,1502,1854,2874 mm,13500000
RAM 1500 5.7 Laramie Atx V8,Bs.As. G.B.A. Norte,RAM,1500,2021,5.7 Laramie Atx V8,Negro,Nafta,4,Automática,5.7,Pick-Up,54060,No,Sí,AsistidaSeguridadFrenos ABSSíFaros con regulación automáticaNoSensor de estacionamientoSíAirbag para conductor y pasajeroSíFaros antinieblas traserosNoControl de estabilidadSíCierre centralizado de puertasSíBlindadoNoSistema ISOFIXSíTracción ASRNoAviso de punto ciegoNoConfort y convenienciaPiloto automáticoNoAire acondicionadoSí,,,,,,,,,49900
Fiat Cronos 1.8 16v Precision,Bs.As. G.B.A. Oeste,Fiat,Cronos,2021,1.8 16v Precision,Gris,Nafta,4,Manual,1.8,Sedán,75000,,Sí,Eléctrica,Delantera,5,48 L,130,4364,1516,1724,2521 mm,12800
Toyota Corolla 2.0 Grs Cvt 170cv,Capital Federal,Toyota,Corolla,2022,2.0 Grs Cvt 170cv,,Nafta,4,Automática,2.0,Sedán,42000,Sí,,Eléctrica,Delantera,5,57 L,170,4630,1435,1780,2700 mm,26500
Ford Fiesta Kinetic Design SEDAN 1.6 S PLUS,Capital Federal,Ford,Fiesta Kinetic Design,2015,SEDAN 1.6 S PLUS,,Nafta,4,Manual,1.6,Hatchback,124051,,Sí,Hidráulica,Delantera,5,54 L,98,3908,1497,1810,2450 mm,8700
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Trendline B34,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2012,2.0 Cd Tdi 180cv 4x4 Trendline B34,Azul,Diésel,4,Manual,2.0,Pick-Up,220000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,17500000
Renault Captur 2.0 Intens,Córdoba,Renault,Captur,2019,2.0 Intens,Gris,Nafta,5,Manual,,SUV,42100,,Sí,,Delantera,5,50 L,,,,,,26900000
Jeep Renegade 1.8 Longitude At6,Bs.As. G.B.A. Sur,Jeep,Renegade,2022,1.8 Longitude At6,Azul,Nafta,5,Automática,1.8,SUV,34500,Sí,,Hidráulica,4x2,5,60 L,130,4624,1670,1798,2570 mm,31500
Chevrolet Cruze II 1.4 Lt 153cv,Bs.As. G.B.A. Oeste,Chevrolet,Cruze II,2017,1.4 Lt 153cv,Gris,Nafta,5,Manual,1.4,Hatchback,94000,Sí,Sí,Asistida,Delantera,5,60 L,153,4510,1477,1677,2467 mm,13200
Toyota Yaris 1.5 107cv S,Capital Federal,Toyota,Yaris,2021,1.5 107cv S,Gris,Nafta,5,Manual,1.5,Hatchback,23000,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,21000
Chery Tiggo 2.0 F2 Confort 4x2 138cv,Bs.As. G.B.A. Norte,Chery,Tiggo,2014,2.0 F2 Confort 4x2 138cv,Plateado,Nafta,5,Manual,2.0,SUV,100000,Sí,Sí,Eléctrica,Delantera,5,57 L,138,4285,1705,1850,3220 mm,12300000
Ram 2500,Bs.As. G.B.A. Sur,RAM,2500,2009,Laramie 5.9,Negro,Diésel,4,Automática,5.9,Pick-Up,112600,,,,,,,,,,,,30000
Ford Ecosport 1.6 Se 110cv 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2016,1.6 Se 110cv 4x2,Blanco,Nafta,5,Manual,1.6,SUV,130000,,Sí,Hidráulica,4x2,5,52 L,110,4241,1693,1814,2608 mm,13800000
Citroën C4 2.0 Sedan Exclusive,Bs.As. G.B.A. Sur,,C4,2009,2.0 Sedan Exclusive,,Nafta,4,Manual,2.0,Sedán,200500,Sí,Sí,Asistida,Delantera,5,68 L,143,4770,1510,1695,2500 mm,6500
Mercedes-Benz Sprinter 2.1 515 Combi 4325 150cv 19+1,Bs.As. G.B.A. Norte,,Sprinter,2013,,Blanco,Diésel,2,Manual,,,600000,No,Sí,Hidráulica,Delantera,20,75 L,150,6995,2860,1994,4025 mm,27000
Ford Focus III 2.0 Se,Córdoba,Ford,Focus III,2015,2.0 Se,,Nafta,5,Manual,2.0,Hatchback,124000,Sí,,Asistida,Delantera,5,55 L,170,4412,1484,1639,2630 mm,15000000
Chevrolet Cruze 1.8 Lt Mt,Santa Fe,Chevrolet,Cruze,2019,1.8 Lt Mt,,Nafta,4,Manual,1.8,Sedán,95000,Sí,Sí,Asistida,Delantera,5,60 L,141,4597,1477,1855,2711 mm,19000000
Peugeot 2008 1.6 Active,Córdoba,Peugeot,2008,2016,1.6 Active,Negro,Nafta,5,Manual,1.6,SUV,94000,,,,Delantera,5,55 L,115,4159,1530,1739,2542 mm,12500000
Volkswagen Amarok 3.0 V6 Extreme 258Cv,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2020,3.0 V6 Extreme 258Cv,,Diésel,4,Automática,3.0,Pick-Up,55000,,,,4x4,5,80 L,258,5254,1834,1944,3095 mm,39999
Peugeot 206 1.9 Xrd Premium,Córdoba,Peugeot,206,2008,1.9 Xrd Premium,,Diésel,5,Manual,1.9,Hatchback,149000,,,Hidráulica,Delantera,5,50 L,70,3835,1430,1652,2442 mm,7200000
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline C33,Capital Federal,Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x2 Highline C33,Gris,Diésel,4,Manual,2.0,Pick-Up,176000,Sí,,Hidráulica,4x2,5,80 L,180,5254,1834,1944,3095 mm,22900000
Volkswagen Amarok 3.0 V6 Extreme,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2024,3.0 V6 Extreme,,Diésel,4,Automática,3.0,Pick-Up,19000,,,,4x4,5,80 L,258,5254,1834,1954,3097 mm,46500
Chevrolet Corsa 1.6 Gls,Bs.As. G.B.A. Norte,Chevrolet,Corsa,1998,1.6 Gls,,Nafta,4,Manual,1.6,Sedán,250000,,,Hidráulica,Delantera,5,54 L,102,4056,1420,1944,3095 mm,4000
Peugeot 2008 1.6 Feline Tip am20,Capital Federal,Peugeot,2008,2020,1.6 Feline Tip am20,,Nafta,5,Automática,1.6,SUV,47650,,,Eléctrica,Delantera,5,55 L,115,4159,1583,1739,2542 mm,16000
Nissan March 1.6 Active 107cv,Bs.As. G.B.A. Sur,Nissan,March,2017,1.6 Active 107cv,,Nafta,5,Manual,1.6,Hatchback,80000,,,Asistida,Delantera,5,41 L,107,3780,1528,1675,2450 mm,9700
Peugeot Partner 1.6 Furgon Confort 5as,Bs.As. G.B.A. Norte,Peugeot,Partner,2019,1.6 Furgon Confort 5as,Blanco,Nafta,4,Manual,1.6,Furgón,72000,,Sí,Hidráulica,Delantera,5,55 L,115,4137,1800,1960,2693 mm,13000
Renault Duster 1.6 Ph2 4x2 Privilege 110cv,San Luis,Renault,Duster,2016,1.6 Ph2 4x2 Privilege 110cv,,Nafta,5,Manual,1.6,SUV,120000,,,,4x2,5,50 L,110,4329,1683,1822,2674 mm,18500000
Volkswagen Vento 2.0 Luxury I 140cv Dsg,Córdoba,Volkswagen,Vento,2012,2.0 Luxury I 140cv Dsg,Negro,Diésel,4,Automática,2.0,Sedán,144000,Sí,Sí,Eléctrica,Delantera,5,55 L,140,4618,1453,1778,2651 mm,18000000
Nissan March 1.6 Acenta 107cv May13,Bs.As. G.B.A. Sur,Nissan,March,2014,1.6 Acenta 107cv May13,,Nafta,5,Manual,1.6,Hatchback,1111,,,Asistida,Delantera,5,41 L,107,3780,1528,1665,2450 mm,11800000
Renault Kangoo Ii Express Confort 5a 1.6 Sce,Bs.As. G.B.A. Norte,Renault,Kangoo,2018,Ii Express Confort 5a 1.6 Sce,Blanco,Nafta,3,Manual,1.6,Furgón,132246,,,Hidráulica,Delantera,2,52 L,114,4010,1860,1672,2600 mm,15500
Ford Ranger Raptor 2.0l Biturbo Cabina Doble 4x4,Bs.As. G.B.A. Norte,Ford,Ranger Raptor,2020,2.0l Biturbo Cabina Doble 4x4,Negro,Diésel,4,Automática,2.0,Pick-Up,48000,Sí,,Eléctrica,4x4,5,80 L,213,5359,1873,1730,2670 mm,41500
Volkswagen Vento 2.0 I Elegance Wood Dsg,Capital Federal,Volkswagen,Vento,2010,2.0 I Elegance Wood Dsg,,Nafta,4,Automática,2.0,Sedán,80000,Sí,Sí,Eléctrica,Delantera,5,55 L,140,4618,1453,1778,2651 mm,14800000
Renault Clio 1.2 Mío Expression Pack I,Bs.As. G.B.A. Oeste,Renault,Clio,2013,1.2 Mío Expression Pack I,,Nafta,5,Manual,1.2,Hatchback,151000,,,Hidráulica,Delantera,5,50 L,75,3813,1417,1639,2472 mm,6499
Volkswagen Saveiro 1.6 Gp Cs 101cv Safety,Bs.As. Costa Atlántica,Volkswagen,Saveiro,2016,1.6 Gp Cs 101cv Safety,Negro,Nafta,2,Manual,1.6,Pick-Up,103000,,Sí,Hidráulica,Delantera,2,55 L,101,4493,1497,1729,2753 mm,13600000
Toyota Corolla 2.0 Xei Cvt 170cv,Capital Federal,Toyota,Corolla,2024,2.0 Xei Cvt 170cv,Azul,Nafta,4,Automática,2.0,Sedán,1111,No,Sí,Eléctrica,Delantera,5,57 L,170,4630,1435,1780,2700 mm,29274000
Fiat Uno 1.3 Fire Pack 2 Aa,Córdoba,Fiat,Uno,2005,1.3 Fire Pack 2 Aa,Blanco,Nafta,3,Manual,1.3,Hatchback,120000,,Sí,,Delantera,5,48 L,68,3770,1490,1636,2376 mm,6000
Toyota Hilux 3.0 Cd Srv 171cv 4x2 - B3,Santa Fe,Toyota,Hilux,2015,3.0 Cd Srv 171cv 4x2 - B3,,Diésel,4,Manual,3.0,Pick-Up,165000,Sí,,Hidráulica,4x2,5,80 L,171,5260,1860,1855,2860 mm,24000
Renault Clio 1.2 Mio Confort Plus Abs Abcp,Bs.As. G.B.A. Sur,Renault,Clio,2015,1.2 Mio Confort Plus Abs Abcp,,Nafta,5,Manual,1.2,Hatchback,86523,,,Hidráulica,Delantera,5,50 L,75,3813,1417,1639,2472 mm,7500
Fiat Strada 1.6 Adventure Cd,Buenos Aires Interior,Fiat,Strada,2014,1.6 Adventure Cd,Negro,Nafta,3,Manual,1.6,Pick-Up,200000,,Sí,Hidráulica,Delantera,4,58 L,115,4457,1648,1785,2625 mm,9000
Fiat 500 1.4 Sport 105cv Serie4,Bs.As. G.B.A. Oeste,Fiat,500,2016,1.4 Sport 105cv Serie4,Gris,Nafta,3,Manual,1.4,Hatchback,28000,Sí,Sí,Asistida,Delantera,4,40 L,105,3546,1492,1855,2640 mm,22800000
Renault Logan 1.6 Pack Ii Abcp+abs 90cv,Bs.As. G.B.A. Oeste,Renault,Logan,2013,,,Nafta,4,Manual,1.6,Sedán,152000,,,Hidráulica,Delantera,5,50 L,90,4290,1525,1740,2630 mm,6500
Ford Ranger 3.2 Cd Xlt Tdci 200cv Manual 4x4,Bs.As. G.B.A. Norte,Ford,Ranger,2022,3.2 Cd Xlt Tdci 200cv Manual 4x4,,Diésel,4,Manual,3.2,Pick-Up,29000,Sí,,Eléctrica,4x4,5,80 L,200,5359,1815,1730,2670 mm,36000000
Renault Sandero Stepway 1.6 16v Intense,Bs.As. Costa Atlántica,Renault,Sandero Stepway,2024,1.6 16v Intense,Rojo,Nafta,5,Manual,1.6,Hatchback,3500,Sí,,Hidráulica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,24000000
Volkswagen Suran 1.6 Comfortline 101cv,Bs.As. G.B.A. Oeste,Volkswagen,Suran,2016,1.6 Comfortline 101cv,,Nafta,5,Manual,1.6,Monovolumen,101500,,,Hidráulica,Delantera,5,50 L,101,4204,1585,1660,2467 mm,11500
"Chevrolet Cruze 4 Puertas 1,4 T Premier A/t 2021 Kb",Bs.As. G.B.A. Sur,Chevrolet,Cruze II,2021,1.4 Premier At,Violeta,Nafta,4,Automática,1.4,Sedán,80825,,,Hidráulica,,,,,,,,,30200000
Renault Duster Oroch 2.0 Dynamique,Bs.As. G.B.A. Sur,Renault,Duster Oroch,2017,2.0 Dynamique,,Nafta,4,Manual,2.0,SUV,124000,,,,4x2,5,50 L,143,4329,1683,1821,2829 mm,14000
Toyota Etios 1.5 Sedan X,Bs.As. G.B.A. Sur,Toyota,Etios,2020,1.5 Sedan X,,Nafta,4,Manual,1.5,Sedán,50000,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,17000000
Peugeot Partner Patagónica 1.6 Vtc,Bs.As. G.B.A. Norte,Peugeot,Partner Patagónica,2012,1.6 Vtc,Gris,Nafta/GNC,4,Manual,1.6,Monovolumen,218000,,,Hidráulica,Delantera,5,55 L,110,4137,1823,1720,2728 mm,11500000
Peugeot 308 1.6 Allure Hdi 115cv,Capital Federal,Peugeot,308,2020,1.6 Allure Hdi 115cv,,Diésel,5,Manual,1.6,Hatchback,108000,Sí,,Hidráulica,Delantera,5,60 L,115,4292,1518,1800,2608 mm,17000
Ford Ecosport 1.6 My10 Xls Plus 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2011,1.6 My10 Xls Plus 4x2,Rojo,Nafta,5,Manual,1.6,SUV,113000,,Sí,Hidráulica,4x2,5,54 L,98,4240,1679,1762,2612 mm,9000
